category,key,source_text,english,tagalog,notes
dialogue,dialogue.anak_yung_b_bubong_sa_sala_b_i_nag_aalala_na_ko_.f2c47edf,"Anak, yung [b]bubong sa sala[/b]... [i]nag-aalala na ko dun.[/i]","Son, the [b]living room roof[/b]... [i]I'm worried about it.[/i]","Anak, yung [b]bubong sa sala[/b]... [i]nag-aalala na ko dun.[/i]",Preserve BBCode tags.
ui,ui.ano_ba_yan_nak_naku.bffea0e8,Ano ba yan nak. naku,"Oh no, son.",Ano ba yan nak. naku,
dialogue,dialogue.nak_ikaw_na_mag_ayos_ng_b_bubong_b_salamat_nak.6dd08b8d,"Nak, ikaw na mag-ayos ng [b]bubong[/b]. Salamat, nak.","Son, please fix the [b]roof[/b]. Thank you.","Nak, ikaw na mag-ayos ng [b]bubong[/b]. Salamat, nak.",Preserve BBCode tags.
ui,ui.bakit_po_inay.80f9dbd8,bakit po inay,"Why, Mother?",bakit po inay,
ui,ui.ano_ba_naman_yan_ma_jusq.d79f5672,ano ba naman yan ma jusq,"Oh no, Mom.",ano ba naman yan ma jusq,
dialogue,dialogue.anak_kamusta_narinig_mo_na_ba_yung_balita.0efd3b07,"Anak kamusta, Narinig mo na ba yung balita?","Son, how are you? Have you heard the news?","Anak kamusta, Narinig mo na ba yung balita?",
dialogue,dialogue.may_paparating_na_bagyo_ulit_kailangan_nating_ma.01de2093,May paparating na bagyo ulit... kailangan nating maghanda.,Another storm is coming... we need to prepare.,May paparating na bagyo ulit... kailangan nating maghanda.,
ui,ui.mas_malakas_daw_ito_kaysa_dati_kaya_kailangan_na.98f03552,"Mas malakas daw ito kaysa dati, kaya kailangan nating maging maingat.","They say this one is stronger than before, so we need to be careful.","Mas malakas daw ito kaysa dati, kaya kailangan nating maging maingat.",
dialogue,dialogue.may_kailangan_tayong_bilhin_bago_lumakas_ang_bag.866bab7f,"May kailangan tayong bilhin bago lumakas ang bagyo. Ito ang pera, anak.","We need to buy supplies before the storm gets stronger. Here is the money, son.","Marami tayong kailangan bilhin bago lumakas ang bagyo. Ito ang pera, anak.",
ui,ui.pag_may_nakita_kang_kailangang_ayusin_sa_bahay_b.dbaa05c2,"Pag may nakita kang kailangang ayusin sa bahay, bilhin mo agad ang kailangan.","If you find anything in the house that needs fixing, buy what you need right away.","Pag may nakita kang kailangang ayusin sa bahay, bilhin mo agad ang kailangan.",
dialogue,dialogue.i_inabot_ni_nanay_ang_pera_para_sa_mga_kailangan.3f35f1e4,"[i]Inabot ni Nanay ang pera para sa mga kailangang bilhin.[/i] Hindi natin maililigtas lahat, anak. Unahin mo ang pinaka-kailangan.","We cannot save everything, son. Prioritize what matters most.","Hindi natin maililigtas lahat, anak. Unahin mo ang pinaka-kailangan.",
ui,ui.kasya_dapat_yan_kung_maingat_ka_sa_pagbili_mag_i.ba7500fa,Kasya dapat yan kung maingat ka sa pagbili. Mag-ingat ka ha.,That should be enough if you buy carefully. Stay safe.,Kasya dapat yan kung maingat ka sa pagbili. Mag-ingat ka ha.,
ui,ui.opo_nay_hahanapin_ko_kung_ano_ang_kailangan_ihan.60054b23,Opo Nay. Hahanapin ko kung ano ang kailangan ihanda.,"Yes, Nay. I'll look for what needs to be prepared.",Opo Nay. Hahanapin ko kung ano ang kailangan ihanda.,
dialogue,dialogue.pasensya_na_anak_hindi_ko_kayang_umalis_ng_bahay.51c90daa,"Pasensya na anak, hindi ko kayang umalis ng bahay dahil wala mag aalaga sa bunso.","I'm sorry, son. I cannot leave the house because no one else can watch your younger sibling.","Pasensya na anak, hindi ko kayang umalis ng bahay dahil wala mag aalaga sa bunso.",
dialogue,dialogue.ikaw_lang_maaasahan_ko_anak_mag_ingat_ka_ha_buma.5bde0747,"Ikaw lang maaasahan ko anak. Mag-ingat ka ha, bumalik ka agad.","You're the only one I can count on, son. Be careful, and come back quickly.","Ikaw lang maaasahan ko anak. Mag-ingat ka ha, bumalik ka agad.",
ui,ui.ako_na_po_bahala_nay.50da901c,Ako na po bahala nay.,"I'll take care of it, Nay.",Ako na po bahala nay.,
dialogue,dialogue.kamusta_anak_nabili_mo_na_ba_ang_mga_kailangan.14c1ec3c,"Kamusta anak, nabili mo na ba ang mga kailangan?","How are you, son? Did you buy what we need?","Kamusta anak, nabili mo na ba ang mga kailangan?",
dialogue,dialogue.lumalakas_na_ang_hangin_anak_mag_ingat_ka.e63b331c,"Lumalakas na ang hangin anak, mag-ingat ka.","The wind is getting stronger, son. Be careful.","Lumalakas na ang hangin anak, mag-ingat ka.",
dialogue,dialogue.huwag_ka_nang_lumabas_ulit_anak_malapit_na_ang_b.6776058f,"Huwag ka nang lumabas ulit anak. Malapit na ang bagyo, dito ka nalang at para ligtas.","Do not go outside again, son. The storm is close. Stay here where it is safe.","Huwag ka nang lumabas ulit anak. Malapit na ang bagyo, dito ka nalang para ligtas.",
dialogue,dialogue.oy_apo_halika_umupo_ka_muna_sandali.df20a691,"Oy apo, halika. Umupo ka muna sandali. ","Come here, grandchild. Sit for a moment. ","Oy apo, halika. Umupo ka muna sandali. ",
